sample.samplingPoint.label,sample.sampleDateTime,determinand.label,determinand.definition,result,determinand.unit.label
R.OUSE THORNBOROUGH RD.BR.,2023-01-27 9:25:00,Ammonia(N),Ammoniacal Nitrogen as N,0.03,mg/l
R.OUSE THORNBOROUGH RD.BR.,2023-01-27 9:25:00,Oxygen Diss,"Oxygen, Dissolved as O2",12.5,mg/l
R.OUSE THORNBOROUGH RD.BR.,2023-01-27 9:25:00,pH,pH,8.16,phunits
R.OUSE THORNBOROUGH RD.BR.,2023-01-27 9:25:00,Orthophospht,"Orthophosphate, reactive as P",0.12,mg/l
R.OUSE THORNBOROUGH RD.BR.,2023-01-27 9:25:00,Alky pH 4.5,Alkalinity to pH 4.5 as CaCO3,240,mg/l
R.OUSE THORNBOROUGH RD.BR.,2023-01-27 9:25:00,N Oxidised,"Nitrogen, Total Oxidised as N",11,mg/l
R.OUSE THORNBOROUGH RD.BR.,2023-01-27 9:25:00,Nitrate-N,Nitrate as N,11,mg/l
R.OUSE THORNBOROUGH RD.BR.,2023-01-27 9:25:00,O Diss %sat,"Oxygen, Dissolved, % Saturation",98,%
R.OUSE THORNBOROUGH RD.BR.,2023-01-27 9:25:00,Temp Water,Temperature of Water,4.9,cel
R.OUSE THORNBOROUGH RD.BR.,2023-01-27 9:25:00,Nitrite-N,Nitrite as N,0.033,mg/l
R.OUSE THORNBOROUGH RD.BR.,2023-01-27 9:25:00,Cond @ 25C,Conductivity at 25 C,788,us/cm
R.OUSE THORNBOROUGH RD.BR.,2023-01-27 9:25:00,NH3 un-ion,Ammonia un-ionised as N,0.00038,mg/l
R.OUSE THORNBOROUGH RD.BR.,2023-02-09 11:52:00,pH,pH,8.19,phunits
R.OUSE THORNBOROUGH RD.BR.,2023-02-09 11:52:00,O Diss %sat,"Oxygen, Dissolved, % Saturation",96.5,%
R.OUSE THORNBOROUGH RD.BR.,2023-02-09 11:52:00,Orthophospht,"Orthophosphate, reactive as P",0.14,mg/l
R.OUSE THORNBOROUGH RD.BR.,2023-02-09 11:52:00,Alky pH 4.5,Alkalinity to pH 4.5 as CaCO3,230,mg/l
R.OUSE THORNBOROUGH RD.BR.,2023-02-09 11:52:00,N Oxidised,"Nitrogen, Total Oxidised as N",11,mg/l
R.OUSE THORNBOROUGH RD.BR.,2023-02-09 11:52:00,Nitrate-N,Nitrate as N,11,mg/l
R.OUSE THORNBOROUGH RD.BR.,2023-02-09 11:52:00,Oxygen Diss,"Oxygen, Dissolved as O2",12.6,mg/l
R.OUSE THORNBOROUGH RD.BR.,2023-02-09 11:52:00,Temp Water,Temperature of Water,4.1,cel
R.OUSE THORNBOROUGH RD.BR.,2023-02-09 11:52:00,Nitrite-N,Nitrite as N,0.028,mg/l
R.OUSE THORNBOROUGH RD.BR.,2023-02-09 11:52:00,Cond @ 25C,Conductivity at 25 C,832,us/cm
R.OUSE THORNBOROUGH RD.BR.,2023-02-09 11:52:00,NH3 un-ion,Ammonia un-ionised as N,0.00035,mg/l
R.OUSE THORNBOROUGH RD.BR.,2023-02-09 11:52:00,Ammonia(N),Ammoniacal Nitrogen as N,0.03,mg/l
R.TOVE WEEDON RD.BR.,2023-01-19 10:36:00,Nitrogen - N,"Nitrogen, Total as N",7.8,mg/l
R.TOVE WEEDON RD.BR.,2023-01-19 10:36:00,Ammonia(N),Ammoniacal Nitrogen as N,0.059,mg/l
R.TOVE WEEDON RD.BR.,2023-01-19 10:36:00,Oxygen Diss,"Oxygen, Dissolved as O2",11.1,mg/l
R.TOVE WEEDON RD.BR.,2023-01-19 10:36:00,pH,pH,8.23,phunits
R.TOVE WEEDON RD.BR.,2023-01-19 10:36:00,N-Kjeldahl,"Nitrogen, Kjeldahl as N",0.00001,mg/l
R.TOVE WEEDON RD.BR.,2023-01-19 10:36:00,Orthophospht,"Orthophosphate, reactive as P",0.079,mg/l
R.TOVE WEEDON RD.BR.,2023-01-19 10:36:00,Phosphorus-P,"Phosphorus, Total as P",0.086,mg/l
R.TOVE WEEDON RD.BR.,2023-01-19 10:36:00,N Oxidised,"Nitrogen, Total Oxidised as N",7.8,mg/l
R.TOVE WEEDON RD.BR.,2023-01-19 10:36:00,Sld Sus@105C,"Solids, Suspended at 105 C",8.7,mg/l
R.TOVE WEEDON RD.BR.,2023-01-19 10:36:00,Nitrate-N,Nitrate as N,7.78,mg/l
R.TOVE WEEDON RD.BR.,2023-01-19 10:36:00,O Diss %sat,"Oxygen, Dissolved, % Saturation",82.7,%
R.TOVE WEEDON RD.BR.,2023-01-19 10:36:00,Temp Water,Temperature of Water,3.2,cel
R.TOVE WEEDON RD.BR.,2023-01-19 10:36:00,Nitrite-N,Nitrite as N,0.019,mg/l
R.TOVE WEEDON RD.BR.,2023-01-19 10:36:00,Cond @ 25C,Conductivity at 25 C,692,us/cm
R.TOVE WEEDON RD.BR.,2023-01-19 10:36:00,Phosphate,Phosphate :- {TIP},0.089,mg/l
R.TOVE WEEDON RD.BR.,2023-01-25 10:05:00,N Organic,"Nitrogen, Organic as N",0.27,mg/l
R.TOVE WEEDON RD.BR.,2023-01-25 10:05:00,N-Kjeldahl,"Nitrogen, Kjeldahl as N",0.3,mg/l
R.TOVE WEEDON RD.BR.,2023-01-25 10:05:00,Orthophospht,"Orthophosphate, reactive as P",0.067,mg/l
R.TOVE WEEDON RD.BR.,2023-01-25 10:05:00,Sld Sus@105C,"Solids, Suspended at 105 C",5.5,mg/l
R.TOVE WEEDON RD.BR.,2023-01-25 10:05:00,O Diss %sat,"Oxygen, Dissolved, % Saturation",99.5,%
R.TOVE WEEDON RD.BR.,2023-01-25 10:05:00,Nitrate-N,Nitrate as N,7.49,mg/l
R.TOVE WEEDON RD.BR.,2023-01-25 10:05:00,pH,pH,8.22,phunits
R.TOVE WEEDON RD.BR.,2023-01-25 10:05:00,Cond @ 25C,Conductivity at 25 C,750,us/cm
R.TOVE WEEDON RD.BR.,2023-01-25 10:05:00,Nitrogen - N,"Nitrogen, Total as N",7.8,mg/l
R.TOVE WEEDON RD.BR.,2023-01-25 10:05:00,N Oxidised,"Nitrogen, Total Oxidised as N",7.5,mg/l
R.TOVE WEEDON RD.BR.,2023-01-25 10:05:00,Phosphorus-P,"Phosphorus, Total as P",0.07,mg/l
R.TOVE WEEDON RD.BR.,2023-01-25 10:05:00,Temp Water,Temperature of Water,3.2,cel
R.TOVE WEEDON RD.BR.,2023-01-25 10:05:00,Nitrite-N,Nitrite as N,0.0085,mg/l
R.TOVE WEEDON RD.BR.,2023-01-25 10:05:00,Oxygen Diss,"Oxygen, Dissolved as O2",13.3,mg/l
R.TOVE WEEDON RD.BR.,2023-01-25 10:05:00,Phosphate,Phosphate :- {TIP},0.075,mg/l
R.TOVE WEEDON RD.BR.,2023-01-25 10:05:00,Ammonia(N),Ammoniacal Nitrogen as N,0.03,mg/l
R.TOVE WEEDON RD.BR.,2023-02-08 11:48:00,N Organic,"Nitrogen, Organic as N",0.57,mg/l
R.TOVE WEEDON RD.BR.,2023-02-08 11:48:00,Cond @ 25C,Conductivity at 25 C,782,us/cm
R.TOVE WEEDON RD.BR.,2023-02-08 11:48:00,Orthophospht,"Orthophosphate, reactive as P",0.042,mg/l
R.TOVE WEEDON RD.BR.,2023-02-08 11:48:00,Phosphate,Phosphate :- {TIP},0.047,mg/l
R.TOVE WEEDON RD.BR.,2023-02-08 11:48:00,Nitrite-N,Nitrite as N,0.0086,mg/l
R.TOVE WEEDON RD.BR.,2023-02-08 11:48:00,O Diss %sat,"Oxygen, Dissolved, % Saturation",104.8,%
R.TOVE WEEDON RD.BR.,2023-02-08 11:48:00,N-Kjeldahl,"Nitrogen, Kjeldahl as N",0.6,mg/l
R.TOVE WEEDON RD.BR.,2023-02-08 11:48:00,pH,pH,8.35,phunits
R.TOVE WEEDON RD.BR.,2023-02-08 11:48:00,Temp Water,Temperature of Water,2.4,cel
R.TOVE WEEDON RD.BR.,2023-02-08 11:48:00,N Oxidised,"Nitrogen, Total Oxidised as N",6.7,mg/l
